protocol,fold_id,test_environment,test_trajectory,covariance_strategy,score_scale,method,feedback,alpha,target_coverage,n_test,coverage,absolute_coverage_gap,median_log_task_volume_m3,p90_log_task_volume_m3,mean_log_task_volume_m3,mean_radius,rolling_coverage_mae_100,longest_miss_streak
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,2245,0.911804008908686,0.011804008908685937,-1.5936076122872205,0.5570086370643392,-1.443010678781039,6.1345421572716505,0.034123951537744834,7
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,2245,0.9265033407572383,0.02650334075723826,-0.24302602265155127,1.271311260284432,-0.34651425816466397,8.820434960031081,0.10410065237651467,21
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9095768374164811,0.009576837416481077,-1.6106300793276844,0.5958503356805205,-1.4438611131324257,6.159591808795801,0.03531220876048481,9
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75_fit_bias,constant,ACI,calibration_only,0.1,0.9,2245,0.9198218262806236,0.019821826280623567,-0.38106899391629323,1.019894544372138,-0.334879917825732,8.44488016463503,0.10166821994408219,23
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9064587973273942,0.0064587973273941834,-1.2027951058147863,0.5369296520632852,-1.0827716710422535,6.811410522241466,0.028625349487418537,7
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9,2245,0.9202672605790646,0.020267260579064583,0.1131439952420088,1.863308633878202,0.025053782886779223,10.225659718264485,0.10578751164958083,24
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9060133630289532,0.006013363028953167,-1.1927996430250278,0.5974116219466075,-1.0747604275609794,6.821978978073589,0.03473438956197588,7
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,2245,0.9216035634743875,0.02160356347438752,-0.028185457482500453,1.784980087860445,-0.07048267743261359,9.821395353338676,0.10476234855545224,23
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9086859688195991,0.008685968819599044,-1.2269801984046218,0.5178778786338717,-1.1123441730243304,6.717905153954234,0.034650512581547194,7
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,normalized_empirical_blend_0.25,constant,ACI,calibration_only,0.1,0.9,2245,0.911804008908686,0.011804008908685937,-3.0735413905653584,-2.162202018719083,-3.15201346533609,3.586621276997036,0.08188723205964603,20
