covariance_strategy,score_scale,method,feedback,alpha,pooled_coverage,cross_environment_coverage,worst_coverage,pooled_minimum_trajectory_coverage,cross_minimum_trajectory_coverage,worst_trajectory_coverage,pooled_volume_m3,cross_environment_volume_m3,worst_volume_m3,pooled_p90_volume_m3,cross_environment_p90_volume_m3,worst_rolling_mae,coverage_valid_1pct
normalized_empirical_blend_0.50,constant,ACI,calibration_only,0.1,0.8983274647887324,0.8356073943661971,0.8356073943661971,0.7596899224806202,0.4640088593576966,0.4640088593576966,0.0413933582598202,0.04533787756356528,0.04533787756356528,0.10798026154278516,0.11020770231903937,0.14608050361905234,False
normalized_empirical_blend_0.75,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9307658450704225,0.7955105633802817,0.7955105633802817,0.8709856035437431,0.2715273412947832,0.2715273412947832,0.04144418740713877,0.045385444067995905,0.045385444067995905,0.1252190804519509,0.09843517474418816,0.18513584400488325,False
normalized_empirical_blend_0.50,loglinear_covariance,AgACI-EWA,recent_100,0.1,0.816637323943662,0.8115757042253521,0.8115757042253521,0.7524916943521595,0.7491694352159468,0.7491694352159468,0.0365849178237569,0.04544538553480433,0.04544538553480433,0.10098425830794194,0.127832888175586,0.12954427571342272,False
normalized_empirical_blend_0.75,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9317781690140845,0.7893485915492958,0.7893485915492958,0.875968992248062,0.2740414833438089,0.2740414833438089,0.041544772955729704,0.04553920610299328,0.04553920610299328,0.1271116977681563,0.10312018237604509,0.18458698810437635,False
normalized_empirical_blend_0.50,loglinear_covariance_time,AgACI-EWA,recent_300,0.1,0.870774647887324,0.8650968309859155,0.8650968309859155,0.8361018826135105,0.8194905869324474,0.8194905869324474,0.03559308090045487,0.04578740947372006,0.04578740947372006,0.09506020037982618,0.13028671652891224,0.09276415020563798,False
normalized_empirical_blend_0.25,constant,ACI,calibration_only,0.1,0.9013204225352113,0.8137323943661972,0.8137323943661972,0.7934662236987818,0.4010056568196103,0.4010056568196103,0.04066607039994446,0.04589272448940551,0.04589272448940551,0.12091792290532552,0.11654143575855928,0.16829387244649133,False
normalized_empirical_blend_0.50,loglinear_covariance_time,AgACI-EWA,recent_100,0.1,0.815625,0.8114436619718309,0.8114436619718309,0.7502768549280178,0.7491694352159468,0.7491694352159468,0.036676459244857955,0.04688618944345007,0.04688618944345007,0.10037893600642005,0.13830383294883575,0.12925651027462198,False
normalized_empirical_blend_0.75,constant,AgACI-EWA,calibration_only,0.1,0.9294454225352112,0.889656690140845,0.889656690140845,0.7818383167220376,0.5714285714285714,0.5714285714285714,0.04147119198162577,0.04873331656936467,0.04873331656936467,0.1129606480523036,0.11827524475580214,0.10274191915290337,False
normalized_empirical_blend_0.50,constant,ACI,recent_100,0.1,0.8263204225352113,0.8214348591549295,0.8214348591549295,0.7452934662236987,0.7497231450719822,0.7452934662236987,0.04299649413490087,0.05364369286360786,0.05364369286360786,0.11002848239487878,0.14454682332293223,0.13477161253852257,False
normalized_empirical_blend_0.50,loglinear_covariance,ACI,recent_100,0.1,0.8358274647887324,0.8283450704225352,0.8283450704225352,0.7674418604651163,0.7668881506090809,0.7668881506090809,0.0438417394978993,0.05428183034895591,0.05428183034895591,0.11792245670148734,0.1515462577804558,0.13147067802511536,False
normalized_empirical_blend_0.75,loglinear_covariance,ACI,calibration_only,0.1,0.9063820422535211,0.7785651408450704,0.7785651408450704,0.8322259136212624,0.257071024512885,0.257071024512885,0.054290173604188856,0.05456930577429411,0.05456930577429411,0.18181097910940452,0.1512230959958537,0.20903957358148892,False
normalized_empirical_blend_0.75,loglinear_covariance_time,ACI,calibration_only,0.1,0.9067341549295774,0.7772447183098592,0.7772447183098592,0.8305647840531561,0.25769956002514144,0.25769956002514144,0.05406251343400507,0.05500195021812134,0.05500195021812134,0.1840096508206436,0.1593691712529626,0.21197833155333062,False
normalized_empirical_blend_0.50,loglinear_covariance_time,ACI,recent_100,0.1,0.8341549295774648,0.8285211267605633,0.8285211267605633,0.7663344407530454,0.7657807308970099,0.7657807308970099,0.04394538297277547,0.05686574391122232,0.05686574391122232,0.11737501061052553,0.16752320268204487,0.13151175135028986,False
normalized_empirical_blend_0.75,constant,ACI,calibration_only,0.1,0.8980193661971831,0.8573503521126761,0.8573503521126761,0.7441860465116279,0.5514950166112956,0.5514950166112956,0.05196265173817986,0.057616493937383606,0.057616493937383606,0.12152381943463385,0.12961307381181522,0.12832960704037064,False
normalized_empirical_blend_0.50,constant,ACI,recent_300,0.1,0.8672095070422535,0.8618397887323944,0.8618397887323944,0.8217054263565892,0.8191681735985533,0.8191681735985533,0.049818752116985957,0.060997212480682995,0.060997212480682995,0.12226750962387656,0.16056396408764476,0.12668124732116193,False
normalized_empirical_blend_0.50,loglinear_covariance,ACI,recent_300,0.1,0.8712588028169014,0.8661531690140845,0.8661531690140845,0.8355481727574751,0.8329637841832964,0.8329637841832964,0.05286647543408749,0.06298194427564816,0.06298194427564816,0.13229249510802166,0.1634210386801299,0.12800940336104005,False
normalized_empirical_blend_0.50,loglinear_covariance_time,ACI,recent_300,0.1,0.8701144366197183,0.8654049295774648,0.8654049295774648,0.8338870431893688,0.8329637841832964,0.8329637841832964,0.0527021840713217,0.06505348033092469,0.06505348033092469,0.13110406549667467,0.17858206689661812,0.12337728355590721,False
diagonal_openvins,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9043573943661972,0.8847271126760563,0.8847271126760563,0.7978566149297857,0.7487065779748706,0.7487065779748706,1.2651916625795916,1.5292842576027497,1.5292842576027497,14.255587316200595,14.69046985351456,0.06574127175322489,False
diagonal_openvins,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.8986795774647888,0.883362676056338,0.883362676056338,0.7490761271249076,0.745750184774575,0.745750184774575,1.2592120249824998,1.632392492267492,1.632392492267492,13.492596599279937,15.735458156955069,0.0682927680390404,False
correlation_shrink_0.75,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9044014084507043,0.889524647887324,0.889524647887324,0.8082039911308204,0.7997043606799704,0.7997043606799704,1.2704578220344156,1.841530372110814,1.841530372110814,13.60100004081587,19.852440370170463,0.06675676684546984,False
diagonal_openvins,loglinear_covariance,ACI,calibration_only,0.1,0.8974031690140845,0.8632922535211267,0.8632922535211267,0.7801182557280119,0.7619047619047619,0.7619047619047619,2.0343553221257547,2.08522663768711,2.08522663768711,17.975635425972584,19.20664340661937,0.09844000113402643,False
diagonal_openvins,loglinear_covariance_time,ACI,calibration_only,0.1,0.890669014084507,0.8609595070422535,0.8609595070422535,0.7239467849223947,0.7574750830564784,0.7239467849223947,1.9980572515494213,2.145585058984434,2.145585058984434,17.414466334133884,21.18551216288594,0.10051390693880556,False
correlation_shrink_0.75,loglinear_covariance_time,ACI,calibration_only,0.1,0.8991197183098592,0.8628521126760563,0.8628521126760563,0.8133776792313377,0.7475083056478405,0.7475083056478405,2.0845386743002576,2.344597019907056,2.344597019907056,16.93785130111887,29.474697844069933,0.10080321522534931,False
