protocol,covariance_strategy,score_scale,method,feedback,alpha,target_coverage,trajectory_mean_coverage,trajectory_std_coverage,minimum_trajectory_coverage,geometric_mean_median_volume_m3,geometric_mean_p90_volume_m3,rolling_coverage_mae_100,longest_miss_streak,folds,sample_pooled_coverage,coverage_shortfall
cross_environment,correlation_shrink_0.50_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8927419979300233,0.03543393663703199,0.8106280193236715,2.9196298375389342,16.609285393299974,0.04904361578389994,11.363636363636363,11,0.8915492957746479,0.008450704225352101
cross_environment,diagonal_openvins,constant,ACI,calibration_only,0.1,0.9,0.8926927876990188,0.04865476356769795,0.7560386473429952,2.6270822586331475,13.219806276493136,0.0857205337936906,19.0,11,0.8910651408450704,0.008934859154929642
cross_environment,correlation_shrink_0.75,constant,ACI,calibration_only,0.1,0.9,0.8926342193644995,0.050101661964203896,0.751207729468599,2.708182211359878,13.189951175093228,0.08638299101602251,19.363636363636363,11,0.8910211267605633,0.008978873239436691
cross_environment,correlation_shrink_0.50,constant,ACI,calibration_only,0.1,0.9,0.8926568367254354,0.05222363840522587,0.744927536231884,2.9778950720489097,13.705783823613174,0.0883739847315395,19.818181818181817,11,0.8910211267605633,0.008978873239436691
cross_environment,correlation_shrink_0.25,constant,ACI,calibration_only,0.1,0.9,0.8927031545798815,0.05627351445350088,0.7338164251207729,3.6640817805476114,14.9312548782897,0.09225082352558034,23.09090909090909,11,0.8908890845070423,0.009110915492957727
cross_environment,correlation_shrink_0.25_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.8914932099002777,0.06817074595081128,0.6922705314009662,9.368495001584266,52.68589996589654,0.08023280471140341,23.545454545454547,11,0.8905369718309859,0.00946302816901412
cross_environment,correlation_shrink_0.75_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8914637198123991,0.039076124023916095,0.7966183574879228,2.559563324642526,15.937184886192787,0.04878910815635373,11.272727272727273,11,0.8903169014084507,0.009683098591549366
cross_environment,correlation_shrink_0.25_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.8908000239597222,0.07094933995950246,0.6826086956521739,9.382976198387745,53.084872003225776,0.08293210970709,22.818181818181817,11,0.8900088028169014,0.009991197183098599
cross_environment,standardized_correlation,loglinear_covariance_time,ACI,recent_300,0.1,0.9,0.891765206549477,0.012934949123708947,0.8718621206444361,7.435086422514468,36.10251655727221,0.09374395917723831,28.0,11,0.8899647887323944,0.010035211267605648
cross_environment,normalized_empirical_blend_0.75,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8820982157683974,0.12123171176153831,0.5714285714285714,0.04873331656936467,0.11827524475580214,0.10274191915290337,48.36363636363637,11,0.889656690140845,0.010343309859154992
cross_environment,correlation_shrink_0.75,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.8919735702351036,0.04284471800904014,0.7997043606799704,1.841530372110814,19.852440370170463,0.06675676684546984,32.18181818181818,11,0.889524647887324,0.010475352112676029
cross_environment,correlation_shrink_0.75_fit_bias,constant,ACI,calibration_only,0.1,0.9,0.8911572412020945,0.044669542683517166,0.7652173913043478,4.5380029242809625,16.278130748703823,0.08546058801619599,22.545454545454547,11,0.889524647887324,0.010475352112676029
cross_environment,correlation_shrink_0.50_fit_bias,constant,ACI,calibration_only,0.1,0.9,0.8911460324923423,0.045897717490181775,0.7618357487922706,5.1740309506260465,17.030141691746636,0.08710261119855181,23.0,11,0.889524647887324,0.010475352112676029
cross_environment,diagonal_openvins_fit_bias,constant,ACI,calibration_only,0.1,0.9,0.890999427208758,0.043952204153659226,0.7671497584541063,4.4230289621397905,16.270027695981554,0.0840043315849484,22.636363636363637,11,0.8893485915492958,0.010651408450704225
cross_environment,correlation_shrink_0.25_fit_bias,constant,ACI,calibration_only,0.1,0.9,0.8910389534940903,0.04762734720388438,0.7579710144927536,7.077219147445444,19.84503113670636,0.09031485677566375,24.454545454545453,11,0.8893485915492958,0.010651408450704225
cross_environment,standardized_correlation,loglinear_covariance,ACI,recent_300,0.1,0.9,0.8907930716696678,0.012825783156972722,0.8734177215189873,7.648822557644921,38.477053582606494,0.09684504655241581,29.181818181818183,11,0.8890845070422535,0.01091549295774652
